Tyres,Brakes,Suspension,Body and Chassis,Lights,Glazing,Wipers,Doors,Seat Belts,Airbags,Speedometer,Exhaust System,Fuel System,Final Score,Outcome
8,9,4,10,5,5,3,8,8,4,9,1,1,56.30434782608695,0
7,10,1,5,2,3,10,7,1,7,2,3,10,55.869565217391305,0
1,5,3,9,7,3,2,2,8,6,4,2,6,46.95652173913044,0
9,7,3,3,2,4,4,10,7,6,1,8,10,59.78260869565217,0
6,4,1,10,3,10,4,5,7,2,6,4,4,48.04347826086956,0
8,4,5,2,5,1,5,7,10,9,6,10,2,56.52173913043478,0
8,4,8,3,8,1,2,6,2,6,5,2,7,51.95652173913044,0
2,2,4,3,7,8,6,7,10,7,4,6,2,49.34782608695652,0
5,9,5,3,4,4,2,8,10,5,2,8,6,56.30434782608695,0
3,7,2,5,9,7,1,1,7,1,6,4,7,49.130434782608695,0
1,7,2,1,2,3,9,3,6,3,8,5,5,39.34782608695652,0
10,4,8,2,1,5,5,6,5,8,7,10,9,62.17391304347826,0
8,5,2,3,2,8,10,9,1,6,1,6,4,48.91304347826087,0
7,7,5,5,4,4,9,7,3,10,9,10,3,62.17391304347826,0
8,4,8,8,9,1,1,10,6,8,8,1,5,60.86956521739131,0
4,9,7,3,9,4,9,1,6,1,9,1,5,52.391304347826086,0
7,6,2,3,8,4,2,10,7,3,3,2,9,54.130434782608695,0
3,3,6,9,7,9,2,4,10,9,8,8,3,60.65217391304349,0
7,3,2,6,10,10,8,6,5,1,9,3,9,59.56521739130435,0
4,10,2,6,1,8,9,1,10,7,6,8,6,59.56521739130435,0
1,10,3,10,1,5,2,10,10,7,3,1,7,53.69565217391305,0
10,5,3,7,7,3,1,7,9,6,5,6,1,55.434782608695656,0
10,9,8,5,5,7,5,1,7,1,7,10,9,66.73913043478261,0
1,7,7,3,9,9,7,8,2,5,9,4,3,53.91304347826087,0
5,2,10,8,10,10,3,6,2,2,9,9,7,61.52173913043478,0
4,7,10,3,4,2,4,10,8,6,5,4,2,50.8695652173913,0
5,3,9,7,5,9,7,3,7,10,9,8,2,61.52173913043478,0
10,10,2,8,3,5,2,7,9,6,2,9,9,67.6086956521739,0
10,7,5,9,1,4,7,3,1,5,4,3,10,56.30434782608695,0
7,4,7,4,1,2,5,6,3,10,3,1,5,46.52173913043478,0
6,10,4,9,7,5,1,6,5,5,8,5,7,62.82608695652174,0
5,5,10,5,2,10,5,5,9,2,6,7,7,56.52173913043478,0
9,4,10,8,9,1,1,10,4,3,6,7,6,60.65217391304349,0
10,9,10,1,2,4,10,5,9,9,10,3,9,70.86956521739131,1
10,4,2,1,3,4,5,9,1,7,2,4,8,49.56521739130435,0
8,10,10,4,4,7,8,1,3,6,7,8,4,62.60869565217392,0
7,6,10,3,3,8,7,5,9,4,10,1,9,61.30434782608696,0
1,9,2,10,8,2,6,8,1,8,9,3,5,55.434782608695656,0
8,8,4,1,2,4,2,10,9,6,3,8,5,55.00000000000001,0
5,10,10,9,3,3,10,3,3,2,6,8,8,60.21739130434782,0
5,3,2,10,5,7,4,9,9,9,1,9,3,57.391304347826086,0
2,7,9,1,8,5,4,6,2,3,9,3,5,48.47826086956522,0
2,9,2,5,9,2,3,7,1,2,6,7,1,43.04347826086957,0
5,6,9,6,10,8,6,4,3,8,5,10,4,65.8695652173913,0
1,2,8,1,1,4,5,5,4,2,9,1,6,33.04347826086956,0
10,7,6,1,9,7,6,6,4,10,3,8,2,64.78260869565217,0
1,2,5,2,9,6,6,4,9,8,8,5,9,56.95652173913044,0
8,9,3,1,3,10,4,9,2,3,10,10,1,53.04347826086957,0
6,4,1,3,7,6,5,5,3,1,4,8,2,41.52173913043478,0
6,7,2,6,5,10,9,10,1,3,3,2,8,54.78260869565217,0
5,6,1,10,5,1,9,4,2,1,4,6,6,45.43478260869565,0
2,7,2,4,3,5,9,2,3,3,3,4,8,42.82608695652174,0
10,2,3,1,2,9,8,5,2,7,6,6,4,49.130434782608695,0
10,3,6,3,8,10,6,10,10,5,5,9,8,70.86956521739131,1
7,5,9,10,9,8,6,1,9,10,3,2,10,73.69565217391305,1
6,7,8,9,2,9,7,4,5,8,7,3,2,57.173913043478265,0
2,2,9,1,7,6,4,1,1,6,10,6,1,41.08695652173913,0
5,9,8,2,4,10,10,9,6,7,9,6,2,62.39130434782608,0
3,9,4,2,9,6,5,4,7,6,8,9,6,61.52173913043478,0
5,6,6,1,7,8,10,8,3,6,9,7,3,57.391304347826086,0
8,1,3,3,5,1,9,10,6,10,3,8,4,53.69565217391305,0
3,3,8,8,1,7,5,9,3,1,10,8,2,43.47826086956522,0
2,6,7,7,7,10,8,4,1,7,6,1,6,55.21739130434783,0
4,10,4,8,3,5,10,3,3,6,10,4,5,56.086956521739125,0
9,2,1,8,4,3,7,1,9,3,8,7,3,48.04347826086956,0
6,2,9,9,7,2,1,9,6,1,4,10,3,50.21739130434783,0
7,2,10,3,1,4,10,7,4,2,7,8,8,51.08695652173913,0
5,3,9,6,10,4,8,4,10,1,5,10,8,62.17391304347826,0
6,10,10,1,5,3,2,9,2,4,3,8,9,58.69565217391305,0
8,4,8,6,2,6,8,3,3,3,1,4,4,45.65217391304348,0
4,1,3,10,6,5,10,6,7,2,1,8,1,44.130434782608695,0
6,8,8,7,4,6,6,2,5,8,9,4,10,66.08695652173913,0
2,2,6,5,8,7,4,2,1,10,6,8,9,56.52173913043478,0
5,3,2,4,4,4,8,7,9,10,1,10,1,50.8695652173913,0
